Estacao;Data;Hora;Velocidade do Vento Media;
83726;08/06/2014;0000;0.666667;
83726;09/06/2014;0000;1;
83726;10/06/2014;0000;1.666667;
83726;11/06/2014;0000;2.333333;
83726;12/06/2014;0000;1;
83726;13/06/2014;0000;2.333333;
83726;14/06/2014;0000;1.333333;
83726;15/06/2014;0000;1;
83726;16/06/2014;0000;0.666667;
83726;17/06/2014;0000;0.333333;
83726;18/06/2014;0000;0.666667;
83726;19/06/2014;0000;1.666667;
83726;20/06/2014;0000;0.666667;
83726;21/06/2014;0000;0;
83726;22/06/2014;0000;1;
83726;23/06/2014;0000;0.333333;
83726;24/06/2014;0000;0;
83726;25/06/2014;0000;0.333333;
83726;26/06/2014;0000;0.333333;
83726;27/06/2014;0000;0.666667;
83726;28/06/2014;0000;0.666667;
83726;29/06/2014;0000;0.666667;
83726;30/06/2014;0000;1;
83726;01/07/2014;0000;0.68592;
83726;02/07/2014;0000;1.02888;
83726;03/07/2014;0000;1.02888;
83726;04/07/2014;0000;1.02888;
83726;05/07/2014;0000;1.02888;
83726;06/07/2014;0000;2.05776;
83726;07/07/2014;0000;0.68592;
83726;08/07/2014;0000;1.02888;
83726;09/07/2014;0000;1.02888;
83726;10/07/2014;0000;1.37184;
83726;11/07/2014;0000;1.02888;
83726;12/07/2014;0000;1.02888;
83726;13/07/2014;0000;0.68592;
83726;14/07/2014;0000;1.02888;
83726;15/07/2014;0000;0.68592;
83726;16/07/2014;0000;0.34296;
83726;17/07/2014;0000;0.68592;
83726;18/07/2014;0000;0.68592;
83726;19/07/2014;0000;0.34296;
83726;20/07/2014;0000;1.02888;
83726;21/07/2014;0000;1.02888;
83726;22/07/2014;0000;1.37184;
83726;23/07/2014;0000;1.7148;
83726;24/07/2014;0000;3.08664;
83726;25/07/2014;0000;1.02888;
83726;26/07/2014;0000;1.02888;
83726;27/07/2014;0000;1.02888;
83726;28/07/2014;0000;1.7148;
83726;29/07/2014;0000;1.02888;
83726;30/07/2014;0000;0.34296;
83726;31/07/2014;0000;0.34296;
83726;01/08/2014;0000;0;
83726;02/08/2014;0000;0;
83726;03/08/2014;0000;0.34296;
83726;04/08/2014;0000;0.68592;
83726;05/08/2014;0000;1.37184;
83726;06/08/2014;0000;1.02888;
83726;07/08/2014;0000;0.68592;
83726;08/08/2014;0000;1.02888;
83726;09/08/2014;0000;1.02888;
83726;10/08/2014;0000;1.02888;
83726;11/08/2014;0000;1.02888;
83726;12/08/2014;0000;0.8574;
83726;13/08/2014;0000;2.74368;
83726;14/08/2014;0000;3.08664;
83726;15/08/2014;0000;2.40072;
83726;16/08/2014;0000;1.02888;
83726;17/08/2014;0000;1.7148;
83726;18/08/2014;0000;0.68592;
83726;19/08/2014;0000;1.02888;
83726;20/08/2014;0000;1.02888;
