--------------------
BDMEP - INMET
--------------------
Estação           : FRANCA - SP (OMM: 83630)
Latitude  (graus) : -20.58
Longitude (graus) : -47.36
Altitude  (metros): 1026.20
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2007 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83630;18/04/2007;1200;3.2;;15.9;;;;
83630;19/04/2007;0000;;26.2;;10;69.25;3.333333;
83630;19/04/2007;1200;0;;17.5;;;;
83630;20/04/2007;0000;;25.2;;3;75.5;1.666667;
83630;20/04/2007;1200;0;;17.7;;;;
83630;21/04/2007;0000;;25.9;;1.4;88.5;1.333333;
83630;21/04/2007;1200;0;;19;;;;
83630;22/04/2007;0000;;26.8;;6.8;83;2;
83630;22/04/2007;1200;2;;17.9;;;;
83630;23/04/2007;0000;;27;;8.6;72.5;1.666667;
83630;23/04/2007;1200;0;;17.8;;;;
83630;24/04/2007;0000;;27.9;;6.9;74.5;3;
83630;24/04/2007;1200;0;;19.4;;;;
83630;25/04/2007;0000;;27.9;;7.7;74.25;2;
83630;25/04/2007;1200;8;;20.6;;;;
83630;26/04/2007;0000;;28.2;;9.5;72;3.666667;
83630;26/04/2007;1200;0;;20.4;;;;
83630;27/04/2007;0000;;26.1;;5.7;85.75;2.333333;
83630;27/04/2007;1200;4.8;;18.9;;;;
83630;28/04/2007;0000;;25;;5.8;73.5;4;
83630;28/04/2007;1200;0;;17.1;;;;
83630;29/04/2007;0000;;24.9;;6.1;72;1.333333;
83630;29/04/2007;1200;0;;15.8;;;;
83630;30/04/2007;0000;;26.6;;9.7;72.5;1.333333;
83630;30/04/2007;1200;0;;17.1;;;;
83630;01/05/2007;0000;;26.8;;10.3;60.5;2;
83630;01/05/2007;1200;0;;16.3;;;;
83630;02/05/2007;0000;;25.9;;10.4;52.75;1.333333;
83630;02/05/2007;1200;0;;16;;;;
83630;03/05/2007;0000;;26.9;;10.4;55;0.666667;
83630;03/05/2007;1200;0;;15.8;;;;
83630;04/05/2007;0000;;25.2;;10.1;68.25;2.333333;
83630;04/05/2007;1200;0;;16.9;;;;
83630;05/05/2007;0000;;25;;9.5;63.75;1.333333;
83630;05/05/2007;1200;0;;15.5;;;;
83630;06/05/2007;0000;;26;;9.9;61;1.666667;
83630;06/05/2007;1200;0;;16;;;;
83630;07/05/2007;0000;;27.2;;9.4;60.25;2;
83630;07/05/2007;1200;0;;18;;;;
