Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Ocorrencia
,32.4,,7.4,4.4,25.3,67.25,1.37,LANINA
0,,20,,,,,1.73,LANINA
,33.2,,9.4,4.6,25.02,63.25,1.37,LANINA
0,,19.5,,,,,2.73,LANINA
,31.1,,9.9,4.7,24.08,66.25,2.60,LANINA
0,,20.1,,,,,1.20,LANINA
,32.5,,8.1,4.3,24.9,66.25,0.97,LANINA
0,,18.5,,,,,1.60,LANINA
,31.6,,8,4.2,24.86,66.75,0.77,LANINA
0,,20.2,,,,,1.07,LANINA
,32,,9.6,4.3,24.68,62.5,1.23,LANINA
0,,20.1,,,,,1.00,LANINA
,31.3,,9.5,5.5,24.82,62.75,2.07,LANINA
0,,19.3,,,,,3.33,LANINA
,31.6,,6.2,5.1,24.56,70.5,2.13,LANINA
0,,21,,,,,2.37,LANINA
,29,,7.5,3.3,22.96,75.25,2.30,LANINA
1.4,,19.6,,,,,1.33,LANINA
,29.1,,8.1,3.9,22.34,73.75,1.13,LANINA
0,,16.6,,,,,1.67,LANINA
,27.7,,2.6,3.4,22,78.5,2.00,LANINA
0,,18.2,,,,,2.17,LANINA
,23,,0.4,2.2,20.26,94.5,1.40,LANINA
0.2,,18.7,,,,,1.63,LANINA
,26.7,,7,1,20.98,75.25,3.30,LANINA
11.1,,16.8,,,,,1.87,LANINA
,28.1,,8.4,2.8,21.42,73.5,2.87,LANINA
0,,15.9,,,,,1.40,LANINA
,29.5,,9.3,3.2,22.48,73.25,2.77,LANINA
0,,17.3,,,,,2.37,LANINA
,29.3,,7.1,3.4,22.8,73.5,3.90,LANINA
0,,18.5,,,,,1.53,LANINA
,29.8,,6.8,3.4,23.16,69.5,3.03,LANINA
0,,18.3,,,,,3.07,LANINA
,30,,9.2,3.9,22.92,66.75,1.53,LANINA
0,,18.1,,,,,1.53,LANINA
,30.1,,6.4,4.5,23,69.5,4.57,LANINA
0,,19,,,,,5.57,LANINA
,29.9,,9.4,3,22.56,69.5,2.53,LANINA
0.2,,17.4,,,,,1.20,LANINA
,28.8,,7.5,3.5,22.18,69.75,1.83,LANINA
0,,16.9,,,,,0.90,LANINA
,28.5,,9.4,3.7,21.88,68.5,1.85,LANINA
0,,16.5,,,,,0.77,LANINA
,28.9,,9.4,3.4,22.26,71,3.23,LANINA
0,,17.4,,,,,2.80,LANINA
,28.3,,7.9,4.8,22.12,71,3.07,LANINA
0,,18.1,,,,,4.20,LANINA
,28.3,,3.5,2,21.88,82.75,3.13,LANINA
0,,18.1,,,,,2.77,LANINA
,29.3,,5.8,2.1,22.04,81,3.23,LANINA
1.2,,19.3,,,,,3.00,LANINA
,29,,7.6,2.3,22.36,77.25,4.73,LANINA
2.7,,18.1,,,,,2.80,LANINA
,29.8,,9.5,2.5,22.92,75.5,2.97,LANINA
2.8,,18.5,,,,,2.97,LANINA
,29.5,,5.1,3.1,22.98,83.5,3.70,LANINA
0,,19.9,,,,,2.77,LANINA
,29,,3.5,2.7,22.48,81.5,1.37,LANINA
7.2,,19.8,,,,,1.63,LANINA
,22.4,,0,2.2,18.02,89,1.77,LANINA
41.8,,15.7,,,,,1.67,LANINA
,21.5,,2.7,1.6,17.52,80.25,1.87,LANINA
1.5,,14.7,,,,,1.17,LANINA
,22.4,,1.3,2.1,18.54,83,1.75,LANINA
0,,15.3,,,,,2.00,LANINA
,26.4,,7.6,1.5,19.84,79.75,2.80,LANINA
0,,15.7,,,,,2.93,LANINA
