--------------------
BDMEP - INMET
--------------------
Estação           : PRESIDENTE PRUDENTE - SP (OMM: 83716)
Latitude  (graus) : -22.11
Longitude (graus) : -51.38
Altitude  (metros): 435.55
Estação Operante
Inicio de operação: 01/10/1940
Periodo solicitado dos dados: 01/01/2007 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83716;07/03/2007;0000;;34.5;;11;56.75;1.766667;
83716;07/03/2007;1200;8.1;;23.4;;;;
83716;08/03/2007;0000;;34.7;;9.6;58;2.533333;
83716;08/03/2007;1200;0;;23.3;;;;
83716;09/03/2007;0000;;34.2;;10.4;61.75;1.933333;
83716;09/03/2007;1200;0;;22.6;;;;
83716;10/03/2007;0000;;33.9;;10.4;80;1.533333;
83716;10/03/2007;1200;0.1;;21.9;;;;
83716;11/03/2007;0000;;32.4;;8.9;71.75;1.766667;
83716;11/03/2007;1200;38.2;;21.8;;;;
83716;12/03/2007;0000;;33.6;;9;67;1.566667;
83716;12/03/2007;1200;0;;23.1;;;;
83716;13/03/2007;0000;;32.3;;5.4;74;1.833333;
83716;13/03/2007;1200;0;;21.8;;;;
83716;14/03/2007;0000;;33.1;;7.4;66.5;2.233333;
83716;14/03/2007;1200;33.2;;22.5;;;;
83716;15/03/2007;0000;;32.5;;5.7;70;1.266667;
83716;15/03/2007;1200;6.5;;22.3;;;;
83716;16/03/2007;0000;;31.4;;2.4;81.25;0.933333;
83716;16/03/2007;1200;0;;22.2;;;;
83716;17/03/2007;0000;;29.4;;3.1;80.25;1.266667;
83716;17/03/2007;1200;19.9;;22;;;;
83716;18/03/2007;0000;;28.5;;4.2;81.5;1.233333;
83716;18/03/2007;1200;10.4;;21.6;;;;
83716;19/03/2007;0000;;27.7;;11.1;60.25;1.966667;
83716;19/03/2007;1200;3.3;;16.6;;;;
83716;20/03/2007;0000;;28.7;;11.2;62.25;0.833333;
83716;20/03/2007;1200;0;;17.4;;;;
83716;21/03/2007;0000;;30.1;;9.7;55.5;1.1;
83716;21/03/2007;1200;0;;18.5;;;;
83716;22/03/2007;0000;;30.8;;6.9;74.5;1.733333;
83716;22/03/2007;1200;0;;21.5;;;;
83716;23/03/2007;0000;;32.7;;6.7;70;1.6;
83716;23/03/2007;1200;4.8;;23.1;;;;
83716;24/03/2007;0000;;33.1;;7.7;68;0.7;
83716;24/03/2007;1200;0;;22.1;;;;
83716;25/03/2007;0000;;33;;7.4;66;1.433333;
83716;25/03/2007;1200;0;;23.6;;;;
83716;26/03/2007;0000;;34.4;;11;57.75;0.966667;
83716;26/03/2007;1200;0;;23.9;;;;
83716;27/03/2007;0000;;34.4;;9.5;56.25;1.8;
83716;27/03/2007;1200;0;;23.2;;;;
83716;28/03/2007;0000;;34.7;;10.2;52.75;1.6;
83716;28/03/2007;1200;0;;25.4;;;;
83716;29/03/2007;0000;;35.2;;11;45;0.966667;
83716;29/03/2007;1200;0;;25.2;;;;
83716;30/03/2007;0000;;34.4;;8.4;57.5;1.833333;
83716;30/03/2007;1200;0;;24.3;;;;
83716;31/03/2007;0000;;35.2;;7.3;55.75;0.8;
83716;31/03/2007;1200;0;;25.2;;;;
83716;01/04/2007;0000;;35.4;;10.1;52;1.966667;
83716;01/04/2007;1200;0;;24.2;;;;
83716;02/04/2007;0000;;34.7;;10;58.75;0.966667;
83716;02/04/2007;1200;0;;23.9;;;;
83716;03/04/2007;0000;;35;;9.9;52.75;1.3;
83716;03/04/2007;1200;0;;24.2;;;;
83716;04/04/2007;0000;;34.8;;8.8;59.5;1.2;
83716;04/04/2007;1200;0;;24.5;;;;
83716;05/04/2007;0000;;32.5;;9.3;65.75;2.1;
83716;05/04/2007;1200;24.2;;21.9;;;;
83716;06/04/2007;0000;;31.7;;10.2;60.25;2.166667;
83716;06/04/2007;1200;0;;20.3;;;;
83716;07/04/2007;0000;;27.3;;1.7;81.25;1.833333;
83716;07/04/2007;1200;7.5;;19.8;;;;
83716;08/04/2007;0000;;29.1;;7.3;77.75;1.466667;
83716;08/04/2007;1200;4.5;;20.5;;;;
83716;09/04/2007;0000;;27.7;;10.3;67.75;0.866667;
83716;09/04/2007;1200;0;;17.6;;;;
83716;10/04/2007;0000;;29;;10.1;63.25;1.2;
83716;10/04/2007;1200;0;;18.2;;;;
83716;11/04/2007;0000;;31.3;;10.7;58.25;1.533333;
83716;11/04/2007;1200;0;;19.4;;;;
83716;12/04/2007;0000;;32;;5.2;54;2.2;
83716;12/04/2007;1200;0;;22.2;;;;
83716;13/04/2007;0000;;30.5;;1.4;71.25;2;
83716;13/04/2007;1200;0;;21.9;;;;
83716;14/04/2007;0000;;32.2;;10.5;56.75;2.2;
83716;14/04/2007;1200;0;;20.5;;;;
83716;15/04/2007;0000;;31.6;;4.7;63.5;2.033333;
83716;15/04/2007;1200;0;;22.4;;;;
83716;16/04/2007;0000;;32.8;;9.7;57.5;0.833333;
83716;16/04/2007;1200;0;;21;;;;
83716;17/04/2007;0000;;31.6;;10.5;56.5;1.866667;
83716;17/04/2007;1200;0;;20.8;;;;
83716;18/04/2007;0000;;30.9;;10.3;60.25;2.033333;
83716;18/04/2007;1200;0;;18;;;;
83716;19/04/2007;0000;;31.9;;10.5;55.75;2.466667;
83716;19/04/2007;1200;0;;20.5;;;;
83716;20/04/2007;0000;;31;;8.1;78.75;1.6;
83716;20/04/2007;1200;0;;20.4;;;;
83716;21/04/2007;0000;;31.5;;9;68.75;1.533333;
83716;21/04/2007;1200;15.3;;20.3;;;;
83716;22/04/2007;0000;;30.4;;10.6;68.5;1.5;
83716;22/04/2007;1200;0;;21.8;;;;
83716;23/04/2007;0000;;32.2;;9.8;62.75;1.866667;
83716;23/04/2007;1200;0;;22.7;;;;
83716;24/04/2007;0000;;33.4;;8;62.5;1.2;
83716;24/04/2007;1200;0;;23.1;;;;
83716;25/04/2007;0000;;31.1;;6.9;71.75;2.5;
83716;25/04/2007;1200;0.6;;20.9;;;;
83716;26/04/2007;0000;;30.7;;2.2;82;0.966667;
83716;26/04/2007;1200;0;;21.2;;;;
83716;27/04/2007;0000;;27.2;;5.6;77.25;3.466667;
83716;27/04/2007;1200;5.2;;20;;;;
83716;28/04/2007;0000;;24.2;;5.6;66.75;3.466667;
83716;28/04/2007;1200;0;;15.2;;;;
83716;29/04/2007;0000;;26.6;;4.7;75;1.5;
83716;29/04/2007;1200;0;;18;;;;
83716;30/04/2007;0000;;28.7;;7.5;70.25;1.966667;
83716;30/04/2007;1200;0;;18.8;;;;
83716;01/05/2007;0000;;30.7;;10.1;66;1.933333;
83716;01/05/2007;1200;0;;18.9;;;;
83716;02/05/2007;0000;;31.7;;9.4;49.75;0.866667;
83716;02/05/2007;1200;0;;20.7;;;;
83716;03/05/2007;0000;;30.9;;10.3;59;2.666667;
83716;03/05/2007;1200;0;;20.6;;;;
83716;04/05/2007;0000;;30.1;;10.1;57.25;3.433333;
83716;04/05/2007;1200;0;;18.9;;;;
83716;05/05/2007;0000;;30.6;;9.5;57.5;3.266667;
83716;05/05/2007;1200;0;;19.8;;;;
83716;06/05/2007;0000;;31.2;;10.4;48.75;2;
83716;06/05/2007;1200;0;;;;;;
83716;07/05/2007;0000;;32.9;;8.3;48.25;1.266667;
83716;07/05/2007;1200;0;;20.3;;;;
83716;08/05/2007;0000;;29;;1.4;79;2.633333;
83716;08/05/2007;1200;0;;18.6;;;;
83716;09/05/2007;0000;;22.5;;4.9;68.25;1.366667;
83716;09/05/2007;1200;0;;12.9;;;;
83716;10/05/2007;0000;;24.4;;9.2;57.5;3.233333;
83716;10/05/2007;1200;0;;9.7;;;;
83716;11/05/2007;0000;;25.5;;2.2;62.25;1.666667;
83716;11/05/2007;1200;0;;15.5;;;;
83716;12/05/2007;0000;;30.8;;9.7;61.5;1.533333;
83716;12/05/2007;1200;0;;17.7;;;;
83716;13/05/2007;0000;;30.5;;8.3;60.25;1.766667;
83716;13/05/2007;1200;0;;20.4;;;;
83716;14/05/2007;0000;;29.5;;8.6;68;0.033333;
83716;14/05/2007;1200;3.6;;20.4;;;;
83716;15/05/2007;0000;;30.3;;10;65.5;1.633333;
83716;15/05/2007;1200;0;;20.4;;;;
83716;16/05/2007;0000;;32.3;;10;55.75;2.466667;
83716;16/05/2007;1200;0;;18.9;;;;
83716;17/05/2007;0000;;31;;6;58.5;1.466667;
83716;17/05/2007;1200;0;;20;;;;
83716;18/05/2007;0000;;30.7;;4.4;68;0.6;
83716;18/05/2007;1200;0;;20.7;;;;
