"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Burundi","BDI","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","-13.7461350547258","9.06315793459652","4.13540741977501","6.27303790305595","3.96722560866229","4.61299289593038","13.8215186020326","-0.297883673243859","-1.45954114320632","21.3256707328197","2.74682871136839","-6.40396492291268","6.88905071788042","-0.726839562116481","0.697920236170518","7.94266097596676","11.4694530442727","-0.940575989168565","1.66495495026511","0.991055725131787","12.1632755702466","-1.05359982020337","3.71532699143128","0.155544004817941","11.7831801831474","3.25018045829934","5.50309611884371","5.03102436828991","1.34950222992005","3.49982214003701","4.99683644802357","1.00999837099629","-6.24000000139047","-3.82999999619828","-7.92000000374772","-7.99999999794093","-1.58999999685828","4.74999999509613","-1.00999999649815","-0.856864058424151","2.05580710835243","4.44651941224797","-1.22372796023444","4.83365776809453","0.900000000901912","5.41380714491444","3.45195248952621","4.8617129950775","3.81274693652152","5.12416330338039","4.03260249625296","4.44670822214543","4.9241952612883","4.24065164368079","-3.9000030859375","-0.600020000546493","0.500009998779461","1.59997661445593",
"Belgium","BEL","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.97842306319194","5.21200350925577","4.35158428167051","6.95668473344054","3.56065983986041","3.15589498173436","3.86814694690094","4.19412962494752","6.62979979529406","5.59182153579091","3.98582732479842","5.29560444959034","6.38170207791997","4.56525805921196","-1.96594156476012","5.65274587719271","0.626154795823368","2.84189660490716","2.34107300948101","4.44405404478736","-0.279283599099202","0.594986930813818","0.311842724452333","2.46638267503687","1.65179282836279","1.8227621153726","2.3066594542609","4.72320890220466","3.4691668095405","3.13740245214575","1.83307430418877","1.53065477570635","-0.961873071443847","3.22697147694578","2.3847571900651","1.59339704279502","3.71041962167318","1.97527365466989","3.56333650515313","3.63363580186243","0.811553673521345","1.78049554421949","0.774406593148001","3.6348531201026","2.09426565677184","2.50614023797755","3.44897640053534","0.783158195820619","-2.25317154824786","2.74423108261561","1.79830621979427","0.234778700910667","0.200661827638712","1.25467698401434","1.73958044796446","1.45255222408282","1.73438965580127","1.43783467602618",
"Benin","BEN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","3.14128045871784","-3.4264098228757","4.73002797546241","6.65075911863298","5.29386283436426","3.57586273280783","1.07839866577682","3.84233563580621","2.87749797606187","2.09775757773704","-1.49684182821601","6.42636754448678","3.70616531858225","3.33931216069718","-4.89534544485581","0.884356333007389","4.98366372489861","1.25507803202922","6.53574740878145","6.78176387161284","9.95423116663252","2.23506634454733","-4.34782273446397","7.92983956425357","7.53032483653877","2.17114159786259","-1.50000294944435","3.40524529485118","-2.85416049626545","8.97613436064626","4.22579941870274","2.95771082640847","5.83617208779967","2.02040044766727","6.04519864774498","4.32428403143146","5.73468837672671","3.96101213801589","5.34144937202619","5.85999210110583","5.33041085668984","4.64447002567962","3.44404484874129","4.42962902368194","1.71157762807459","3.94701374716007","5.98651552196785","4.88989863684026","2.32930120963711","2.11019929660023","2.96275035081007","4.81647824066904","7.18971631205676","6.35183194111322","2.0958083832335","3.96485991037314","5.83782330470896","6.85800227090556",
"Burkina Faso","BFA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.04392797653317","6.12879878142711","-1.26801637263019","2.28281922317825","3.76454538057878","0.53761308310483","8.82331497511429","3.07077393772455","2.02608104065483","0.117019610899916","1.41333988193304","2.31149874124745","0.449327404973701","8.28642648234306","2.99838289042407","8.53489496952547","0.370353558007523","4.60782500525137","3.66462151183148","0.796878872350675","4.25530339449531","9.56219662276685","0.345984739692895","-1.77869668654424","8.51736499535107","7.95536272803459","-0.236336793625298","5.79559296480244","2.15026727576519","-0.60292848001005","9.06998446083453","0.232710762542766","3.46138493514046","1.31500727214082","5.71637386679349","11.0147438692119","6.31683473498401","7.30771963314496","7.40417896632496","1.82024189276156","6.61339955512814","4.35300432287377","7.80243989821501","4.47847434866785","8.66186160516736","6.25315860358158","5.65500511828274","7.29449815007297","2.96201437138612","5.37337312603061","6.62686519230525","6.45269875497425","5.79258931687122","4.32683735691617","3.89454805671508","5.93413510489553","6.30209605892456","6.5098030396815",
"Bangladesh","BGD","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","6.05816082548087","5.45303096987186","-0.455894289938712","10.9527885460418","1.60625822891573","2.56681200128052","-1.87586391964774","9.48945401547951","1.22085790909685","5.61985229280111","-5.47948302721956","-13.9737287020439","3.32568019878394","9.59195630041845","-4.08821409181661","5.66136120119667","2.67305605001984","7.07383773260692","4.80163460055662","0.81914186889891","7.23394369490723","2.13432783577075","3.88104639981715","4.80331001525438","3.34201465415414","4.173382559004","3.77240185252705","2.41625685566223","2.83658212907926","5.62225816160702","3.4852278153552","5.44268555072129","4.71156172449447","3.89012644065643","5.12127789716162","4.52291921762344","4.48989649735631","5.17702687345256","4.67015636827865","5.2932947184604","5.07728777597312","3.83312394005608","4.73956739916446","5.2395329104527","6.53594494052352","6.67190498148148","7.0585993565727","6.01378975923306","5.04512479417738","5.57180227396866","6.46438388047517","6.52143507837333","6.01361036536019","6.06105935903958","6.55265279631962","7.1134894741232","7.28418409195113","7.86370889257542",
"Bulgaria","BGR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","4.90016185983096","2.33456559219091","3.43030591266262","3.39644362278435","2.68344073997291","4.20760200434142","6.05451383876866","10.9446920641535","-3.28988206795438","-9.11737709653305","-8.44535523808105","-7.27238790651938","-1.48021482899122","1.81801124071566","2.86018944148833","0.704680677821131","-1.08882024740534","6.34897902911045","-8.40813438865463","4.76577106392688","3.77021779291451","5.93751640002745","5.15621844288377","6.43535832318665","7.12351107638302","6.87435837944525","7.3444219091066","6.02188340210856","-3.58614562510616","1.32408780093829","1.91490585291416","0.0309698686798754","0.493921421234305","1.8375211479416","3.47118604090714","3.9367581489791","3.81124815844305","3.08115723374425",
"Bahrain","BHR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-5.31669735282962","-7.55621771215945","6.37637679964398","5.00364604500774","-4.75826853805688","1.18299391598423","10.3990093325468","6.99999164945328","0.364007138161824","4.43799717642636","11.2299987800123","6.68999836660538","12.8700066696584","-0.250001484542878","3.92999154532021","4.11000611512114","3.09299978673204","4.79000278855499","4.29999896037758","5.29999479407712","2.49103356534492","3.61414828908676","6.02395119599457","6.98094698388441","6.768939708829","6.46856767156123","8.29244382201286","6.24512834138467","2.53977246949495","4.33440708785902","1.98382325562152","3.73225152129817","5.41650371529137","4.34984232980895","2.86196782508222","3.47092370171953","3.80352226237173","1.77769375269004",
"Bahamas, The","BHS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","10.667097429183","10.4519718906977","10.5240552039871","10.5015672018341","10.4255964880826","9.07192871148786","9.59811386676543","8.42176356379977","8.98166257813466","-5.64964951931603","1.62650874074384","-3.4973359333692","7.5675688239273","-16.7542290749632","-14.8031263125012","5.18518497170828","9.15492921913122","14.179520138717","26.1392957694239","6.49528192139537","-9.22640507988643","6.69889775608125","3.59705186796602","14.1711486244798","4.82918011397486","1.79700022744105","2.9845193449047","2.30970766083306","6.72732979931727","-1.5962490864956","-4.18178478140044","-3.82558196958198","0.3078062914432","3.14891561997803","4.37875209047469","4.22353042530401","2.06223963422254","4.71648221554824","7.14411475804808","4.14924301720671","2.62568405842836","2.70456161502959","-1.26472077068983","0.882839929779749","3.39535559727943","2.51684911910282","1.44654463506183","-2.32396697254454","-4.17526040073237","1.53877740677106","0.6128974521461","3.0866868599452","-0.410428618068195","-0.147988573034226","1.04495952423387","-1.68954985564559","1.43719133908084","",
"Bosnia and Herzegovina","BIH","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8000005498984","88.9576648014073","34.3895745908777","15.5999963635658","9.59999979508615","5.50000043583101","4.39999950666288","5.30000026724034","4.00000006535353","6.09996678020042","8.75925670006414","5.41726968398982","5.85558493923682","5.42672660024228","-3.00275253730304","0.872151022572723","0.958953087750629","-0.821729266233604","2.35103401437631","1.14803801103687","3.08822376132143","3.14565809237735","3.16355948711239","3.06613484784417",
"Belarus","BLR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.19999556980412","-9.60000139597706","-7.60000184221087","-11.7000038975536","-10.4000004914994","2.80000465053934","11.4000054053548","8.39999142031994","3.39999916322964","5.80000344007456","4.72530599387507","5.04526748002185","7.04319255874692","11.4497431053961","9.40000152357688","9.99999481247369","8.60000653624813","10.1999994395436","0.199995310014472","7.79826682269731","5.37870744981015","1.68713553642841","1.00347084085645","1.72638485417005","-3.82957055828382","-2.52644643552361","2.53218350023035","3.04990554989585",
